"PrecinctID","MID","DID","PID","Party_1","Party_2","Party_3","Party_4","Party_5","Party_6","Party_7","Party_8","Party_10","Party_11","Party_12","Party_14","Party_15","Party_16","Party_17","Party_18","Party_19","Party_22","Party_23","Party_25","Party_26","Party_27","Party_28","Party_30","Party_41","Protocol","PrecID"
"1",1,NA,NA,27,2,5,4,232,7,4,4,45,1,0,12,0,0,7,4,1,0,2,0,1,214,3,2,564,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"2",2,NA,NA,1,0,0,0,65,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,7,0,0,50,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"3",3,NA,NA,3,0,0,0,47,11,0,2,6,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,27,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"4",4,NA,NA,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"5",5,NA,NA,0,0,0,0,21,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"6",6,NA,NA,0,0,1,0,18,1,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"7",7,NA,NA,2,0,0,0,34,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,26,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"8",8,NA,NA,0,0,1,0,111,2,0,3,4,0,0,1,0,0,0,1,0,0,0,0,0,9,0,0,37,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"9",9,NA,NA,2,0,0,0,125,11,1,5,1,0,0,0,0,0,0,2,0,0,0,0,0,11,1,0,38,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"10",10,NA,NA,5,0,1,0,20,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,23,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"11",11,NA,NA,3,0,1,0,35,14,2,5,4,0,0,1,0,0,0,1,0,0,0,1,0,19,0,0,43,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"12",12,NA,NA,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,4,0,0,6,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"13",13,NA,NA,2,0,0,0,32,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,25,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"14",14,NA,NA,0,0,0,0,8,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,10,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"15",15,NA,NA,4,0,3,0,41,14,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"16",16,NA,NA,4,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"17",17,NA,NA,0,0,2,0,22,1,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,12,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"18",18,NA,NA,3,0,0,0,26,4,0,2,8,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,37,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"19",19,NA,NA,0,2,0,0,13,11,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,23,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"20",20,NA,NA,1,0,0,0,12,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,20,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"21",21,NA,NA,2,0,2,0,21,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,22,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"22",22,NA,NA,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"23",23,NA,NA,0,0,0,0,8,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,16,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"24",24,NA,NA,1,0,0,0,20,1,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,16,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"25",25,NA,NA,1,0,1,0,10,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,26,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"26",26,NA,NA,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"27",27,NA,NA,4,0,2,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,9,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"28",28,NA,NA,0,0,0,0,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"29",29,NA,NA,1,0,1,0,9,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,18,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
"30",30,NA,NA,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,"<U+10DD><U+10E5><U+10DB><U+10D8>",NA
