"PrecinctID","MID","DID","PID","X1","X2","X3","X4","X5","X6","X7","X8","X10","X12","X14","X15","X16","X17","X18","X19","X22","X23","X25","X26","X27","X28","X41","X42","X43","X44","Protocol","Precid"
"01.01.01",1,1,"1","17","","49","","171","31","4","42","","","39","","","2","3","","","2","","5","51","","","285","6","","<U+10DD><U+10E5><U+10DB><U+10D8>","101001"
"01.01.02",1,1,"2","33","","27","","224","21","3","39","","","28","","","1","1","","","1","","3","31","","","260","6","","<U+10DD><U+10E5><U+10DB><U+10D8>","101002"
"01.01.03",1,1,"3","20","","35","","235","22","5","33","","","44","","","3","7","","","0","","5","64","","","290","7","","<U+10DD><U+10E5><U+10DB><U+10D8>","101003"
"01.01.04",1,1,"4","18","","30","","126","29","1","46","","","21","","","1","7","","","1","","0","49","","","273","3","","<U+10DD><U+10E5><U+10DB><U+10D8>","101004"
"01.01.05",1,1,"5","18","","47","","196","29","4","38","","","24","","","9","2","","","1","","3","46","","","350","5","","<U+10DD><U+10E5><U+10DB><U+10D8>","101005"
"01.01.06",1,1,"6","23","","53","","189","35","3","39","","","42","","","5","7","","","0","","4","53","","","379","2","","<U+10DD><U+10E5><U+10DB><U+10D8>","101006"
"01.01.07",1,1,"7","18","","34","","188","28","0","47","","","34","","","2","11","","","1","","4","51","","","293","5","","<U+10DD><U+10E5><U+10DB><U+10D8>","101007"
"01.01.08",1,1,"8","22","","25","","127","19","2","41","","","15","","","1","7","","","0","","2","36","","","249","2","","<U+10DD><U+10E5><U+10DB><U+10D8>","101008"
"01.01.09",1,1,"9","26","","20","","218","37","1","48","","","19","","","2","3","","","0","","8","36","","","366","5","","<U+10DD><U+10E5><U+10DB><U+10D8>","101009"
"01.01.10",1,1,"10","17","","33","","188","26","1","42","","","35","","","3","3","","","1","","6","73","","","364","6","","<U+10DD><U+10E5><U+10DB><U+10D8>","101010"
"01.01.11",1,1,"11","22","","55","","263","34","5","39","","","24","","","4","8","","","1","","4","43","","","297","4","","<U+10DD><U+10E5><U+10DB><U+10D8>","101011"
"01.01.12",1,1,"12","47","","23","","189","34","7","50","","","28","","","2","3","","","1","","6","60","","","352","12","","<U+10DD><U+10E5><U+10DB><U+10D8>","101012"
"01.01.13",1,1,"13","13","","23","","142","24","2","31","","","22","","","1","10","","","1","","1","43","","","349","6","","<U+10DD><U+10E5><U+10DB><U+10D8>","101013"
"01.01.14",1,1,"14","21","","24","","169","36","4","35","","","34","","","0","3","","","1","","0","67","","","265","6","","<U+10DD><U+10E5><U+10DB><U+10D8>","101014"
"01.01.15",1,1,"15","18","","22","","200","27","1","27","","","16","","","1","5","","","0","","2","63","","","362","9","","<U+10DD><U+10E5><U+10DB><U+10D8>","101015"
"01.01.16",1,1,"16","13","","26","","242","21","4","58","","","21","","","2","2","","","1","","8","67","","","339","3","","<U+10DD><U+10E5><U+10DB><U+10D8>","101016"
"01.01.17",1,1,"17","16","","17","","132","15","1","21","","","10","","","1","5","","","0","","3","39","","","223","5","","<U+10DD><U+10E5><U+10DB><U+10D8>","101017"
"01.01.18",1,1,"18","12","","22","","163","23","1","33","","","15","","","3","5","","","0","","4","40","","","267","1","","<U+10DD><U+10E5><U+10DB><U+10D8>","101018"
"01.01.19",1,1,"19","20","","31","","215","47","4","40","","","14","","","2","5","","","0","","8","46","","","348","6","","<U+10DD><U+10E5><U+10DB><U+10D8>","101019"
"01.01.20",1,1,"20","18","","53","","249","23","3","27","","","10","","","2","15","","","1","","17","48","","","306","4","","<U+10DD><U+10E5><U+10DB><U+10D8>","101020"
"01.01.21",1,1,"21","25","","20","","232","43","8","41","","","22","","","2","8","","","2","","1","49","","","341","8","","<U+10DD><U+10E5><U+10DB><U+10D8>","101021"
"01.01.22",1,1,"22","15","","51","","206","36","2","51","","","28","","","1","2","","","1","","3","63","","","433","2","","<U+10DD><U+10E5><U+10DB><U+10D8>","101022"
"01.01.23",1,1,"23","26","","22","","247","30","1","55","","","17","","","2","4","","","3","","3","54","","","371","2","","<U+10DD><U+10E5><U+10DB><U+10D8>","101023"
"01.01.24",1,1,"24","18","","24","","291","35","5","25","","","16","","","1","3","","","1","","3","45","","","408","4","","<U+10DD><U+10E5><U+10DB><U+10D8>","101024"
"01.01.25",1,1,"25","11","","34","","177","22","2","22","","","6","","","3","4","","","3","","3","28","","","260","3","","<U+10DD><U+10E5><U+10DB><U+10D8>","101025"
"01.01.26",1,1,"26","20","","20","","208","40","2","50","","","20","","","3","3","","","3","","2","32","","","388","8","","<U+10DD><U+10E5><U+10DB><U+10D8>","101026"
"01.01.27",1,1,"27","25","","21","","193","38","3","33","","","34","","","1","1","","","1","","5","70","","","459","5","","<U+10DD><U+10E5><U+10DB><U+10D8>","101027"
"01.01.28",1,1,"28","9","","34","","181","46","4","39","","","30","","","1","3","","","1","","3","82","","","381","5","","<U+10DD><U+10E5><U+10DB><U+10D8>","101028"
"01.01.32",1,1,"32","20","","40","","310","23","5","38","","","9","","","4","2","","","2","","0","34","","","430","3","","<U+10DD><U+10E5><U+10DB><U+10D8>","101032"
"01.01.33",1,1,"33","14","","41","","220","23","1","42","","","22","","","3","2","","","0","","1","38","","","331","4","","<U+10DD><U+10E5><U+10DB><U+10D8>","101033"
"01.04.01",1,4,"1","23","","46","","182","34","7","52","","","22","","","2","3","","","4","","8","57","","","331","5","","<U+10DD><U+10E5><U+10DB><U+10D8>","104001"
"02.01.29",2,1,"29","","","17","","224","","","98","","2","","","","","","6","","10","","3","97","","456","3","","12","<U+10DD><U+10E5><U+10DB><U+10D8>","201029"
"02.01.30",2,1,"30","","","17","","165","","","32","","2","","","","","","5","","9","","11","65","","375","4","","22","<U+10DD><U+10E5><U+10DB><U+10D8>","201030"
"02.01.31",2,1,"31","","","25","","188","","","50","","2","","","","","","2","","3","","5","125","","413","3","","14","<U+10DD><U+10E5><U+10DB><U+10D8>","201031"
"02.02.01",2,2,"1","","","20","","173","","","40","","1","","","","","","6","","7","","14","109","","393","4","","15","<U+10DD><U+10E5><U+10DB><U+10D8>","202001"
"02.02.02",2,2,"2","","","20","","178","","","61","","5","","","","","","5","","7","","14","138","","421","3","","23","<U+10DD><U+10E5><U+10DB><U+10D8>","202002"
"02.02.03",2,2,"3","","","21","","215","","","60","","2","","","","","","7","","3","","12","167","","435","1","","22","<U+10DD><U+10E5><U+10DB><U+10D8>","202003"
